ISBN,Author,Title,Cover,URL,Tags
1940363365,Lauren Wilson,The Art of Eating Through the Zombie Apocalypse: A Cookbook and Culinary Survival Guide,,https://covers.openlibrary.org/b/isbn/1940363365-L.jpg,Zombies Humor Cooking Humor Survival Humor Survival Humor Zombies Humour Habilete
1101982934,Kelly McGonigal,"The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It",,https://covers.openlibrary.org/b/isbn/1101982934-L.jpg,Stress Psychology  Stress management  Stress Physiology  Stress Psychological  Psychological Distress  SelfManagement  Stress Physiological  Stress Gestion du stress Stress Physiology fast Stress management fast Stress Psychology fast
1572245379,Michael A. Singer,The Untethered Soul: The Journey Beyond Yourself,,https://covers.openlibrary.org/b/isbn/1572245379-L.jpg,Consciousness  Self  Identity Consciousness  Ego  Conscience Moi Psychologie SELFHELP Spiritual  PHILOSOPHY Taoist  Consciousness fast Self fast
1469630354,"Mara Buchbinder, Michele Rivkin-Fish, Rebecca L. Walker",Understanding Health Inequalities and Justice: New Conversations across the Disciplines (Studies in Social Medicine),,"https://m.media-amazon.com/images/I/71hwFiq9TvL._AC_UF1000,1000_QL80_DpWeblab_.jpg",Medical policy United States Public health United States Equality Health aspects United States Justice Health aspects United States Health Social aspects United States Health Political aspects United States Social justice Medical policy Healthcare Disparities Social Justice Public Health Practice Health Policy Politique sanitaire E
9780804141109,Michael A. Singer,The Surrender Experiment: My Journey into Life's Perfection,,https://covers.openlibrary.org/b/isbn/9780804141109-L.jpg,Spiritual life  Spirituality  Solitude Religious aspects  Acceptance in the Bible  Will Religious aspects  Solitude Religious aspects Spirituality  Vie spirituelle Spiritualite
1741175038,"Doron Francis, Stephanie Francis",Homecamp: Stories and Inspiration for the Modern Adventurer,,https://covers.openlibrary.org/b/isbn/1741175038-L.jpg,Outdoor recreation  Adventure travel  Travel  Adventure and adventurers  Travel  Loisirs de plein air Tourisme daventure Voyage atravel aat Travel fast  Adventure travel fast  Adventure and adventurers fast  Outdoor recreation fast 
162023159X,Rebekah Sack,Healthy Cooking & Nutrition for College Students How Not to Gain the Freshman 15,,https://covers.openlibrary.org/b/isbn/162023159X-L.jpg,College students Nutrition College students Health and hygiene Cooking Food habits Cooking Diet Healthy Feeding Behavior E
0061733520,Kristin Neff,Self-Compassion: The Proven Power of Being Kind to Yourself,,https://covers.openlibrary.org/b/isbn/0061733520-L.jpg,Selfacceptance  Compassion  Security Psychology  Selfperception  Selfcare Health  Security Psychology Selfacceptance Empathy  Self Concept  Self Care  Acceptation de soi Compassion Inse
0374534888,Charles Montgomery,Happy City: Transforming Our Lives Through Urban Design,,https://covers.openlibrary.org/b/isbn/0374534888-L.jpg,City planning Psychological aspects Urban beautification Psychological aspects City dwellers Psychology Environmental psychology Environmental Psychology Citadins Psychologie Psychologie de lenvironnement aenvironmental psychology aat POLITICAL SCIENCE Public Policy City Planning Urban Development  PSYCHOLOGY Applied Psychology  BUSINESS ECONOMICS Urban Regional  City planning Psychological aspects fast  Environmental psychology fast  Urban beautification Psychological aspects fast  Stadsplanering estetik xpsykologiska aspekter sao Stadsbefolkning xpsykologiska aspekter sao Miljopsykologi xpsykologiska aspekter sao
0071492399,Tal Ben-Shahar,Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment,,https://covers.openlibrary.org/b/isbn/0071492399-L.jpg,Happiness Conduct of life Happiness  Happiness fast  Happiness nli Wellbeing nli
